Timestamp,Parking Spot,Occupied
2024-10-29 15:03:03.730721,Spot 9,Occupied
2024-10-29 15:03:03.730721,Spot 10,Occupied
2024-10-29 15:03:03.730721,Spot 11,Occupied
2024-10-29 15:03:03.730721,Spot 16,Occupied
2024-10-29 15:03:03.761736,Spot 5,Occupied
2024-10-29 15:03:03.761736,Spot 11,Occupied
2024-10-29 15:03:03.761736,Spot 14,Occupied
2024-10-29 15:03:03.761736,Spot 16,Occupied
2024-10-29 15:03:03.794389,Spot 5,Occupied
2024-10-29 15:03:03.794389,Spot 7,Occupied
2024-10-29 15:03:03.794389,Spot 9,Occupied
2024-10-29 15:03:03.794389,Spot 10,Occupied
2024-10-29 15:03:03.794389,Spot 11,Occupied
2024-10-29 15:03:03.794389,Spot 12,Occupied
2024-10-29 15:03:03.794389,Spot 13,Occupied
